,Unnamed: 0_x,date,country,id,start,end,severity,status,location,service_name,number_affected_products,city,Unnamed: 0_y,Start Date,End Date,Geo Locations,Disaster Type,Total Damages,Total Deaths,Total Affected
80,91,2022-09-18,Australia,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,australia-southeast1,Google Kubernetes Engine,1.0,Sydney,609,,,,,,,
81,92,2022-09-18,Poland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-central2,Google Kubernetes Engine,1.0,Warsaw,690,,,,,,,
82,93,2022-09-18,Finland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-north1,Google Kubernetes Engine,1.0,Hamina,800,,,,,,,
83,94,2022-09-18,Spain,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-southwest1,Google Kubernetes Engine,1.0,Madrid,636,,,,,,,
84,95,2022-09-18,Belgium,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west1,Google Kubernetes Engine,1.0,St. Ghislain,626,,,,,,,
85,96,2022-09-18,Germany,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west3,Google Kubernetes Engine,1.0,Frankfurt,648,,,,,,,
86,97,2022-09-18,Italy,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west8,Google Kubernetes Engine,1.0,Milan,660,,,,,,,
87,98,2022-09-18,United Kingdom,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west2,Google Kubernetes Engine,1.0,London,623,,,,,,,
88,99,2022-09-18,Netherlands,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west4,Google Kubernetes Engine,1.0,Eemshaven,700,,,,,,,
89,100,2022-09-18,Switzerland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west6,Google Kubernetes Engine,1.0,Zurich,736,,,,,,,
90,101,2022-09-18,France,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west9,Google Kubernetes Engine,1.0,Paris,637,,,,,,,
91,102,2022-09-18,Katar,,,,,,,,,,761,,,,,,,
92,103,2022-09-18,Israel,,,,,,,,,,678,,,,,,,
93,104,2022-09-18,Canada,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,northamerica-northeast1,Google Kubernetes Engine,1.0,Montréal,631,,,,,,,
94,105,2022-09-18,Brazil,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-east1,Google Kubernetes Engine,1.0,São Paulo,619,,,,,,,
95,106,2022-09-18,Chile,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-west1,Google Kubernetes Engine,1.0,Santiago,607,,,,,,,
96,107,2022-09-18,USA,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,us-central1,Google Kubernetes Engine,1.0,Council Bluffs,706,,,,,,,
97,112,2022-09-19,Taiwan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east1,Google Kubernetes Engine,1.0,Changhua County,912,,,,,,,
98,113,2022-09-19,Hong Kong,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east2,Google Kubernetes Engine,1.0,Hong Kong,931,,,,,,,
99,114,2022-09-19,Japan,tK27wxVTmR9qpxvE1oJw,2022-09-19T16:51:00+00:00,2022-09-19T19:40:00+00:00,medium,SERVICE_DISRUPTION,asia-northeast1,Multiple Products,2.0,Tokyo,855,2022-09-18,2022-09-20,Kagosima (Adm1). ,Storm,2000000.0,5.0,1340.0
100,115,2022-09-19,Japan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast1,Google Kubernetes Engine,1.0,Tokyo,855,2022-09-18,2022-09-20,Kagosima (Adm1). ,Storm,2000000.0,5.0,1340.0
101,116,2022-09-19,South Korea,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast3,Google Kubernetes Engine,1.0,Seoul,904,,,,,,,
